Gene_ID,Change,Gene_Name,Gene_Biotype,Chr,Length,Exon Length,Gene_Body_Downregulated,Upstream_Promoter_Downregulated,Downstream_Promoter_Downregulated,TSS_Downregulated,Gene_Body_Nondifferential,Upstream_Promoter_Nondifferential,Downstream_Promoter_Nondifferential,TSS_Nondifferential,Gene_Body_Upregulated,Upstream_Promoter_Upregulated,Downstream_Promoter_Upregulated,TSS_Upregulated
ENSRNOG00000000231,Downregulated,Kctd17,protein_coding,7,10774,1634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000236,Upregulated,Zfp207,protein_coding,10,11793,1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000237,Upregulated,RGD1310429,protein_coding,10,11900,1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000244,Nondifferential,Coil,protein_coding,10,21378,2606,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000245,Upregulated,Slc16a6,protein_coding,10,18898,2179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSRNOG00000000246,Nondifferential,Amz2,protein_coding,10,10536,2938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000247,Nondifferential,Mfsd11,protein_coding,10,19017,2885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000248,Nondifferential,Srsf2,protein_coding,10,3180,1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000249,Upregulated,Mettl23,protein_coding,10,4664,903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000250,Upregulated,Jmjd6,protein_coding,10,6051,1699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000258,Upregulated,Prmt7,protein_coding,19,46443,2379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ENSRNOG00000000262,Downregulated,Zfp821,protein_coding,19,19007,1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000264,Upregulated,Def8,protein_coding,19,15789,3130,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000277,Nondifferential,Tet1,protein_coding,20,71215,6102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000279,Nondifferential,Rtn4ip1,protein_coding,20,43888,2994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
ENSRNOG00000000281,Upregulated,Prodh1,protein_coding,11,17170,2182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000283,Nondifferential,Dgcr14,protein_coding,11,8906,1726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000288,Nondifferential,Scarf2,protein_coding,11,11385,3313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000299,Upregulated,Foxo3,protein_coding,20,91021,2827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0
ENSRNOG00000000302,Upregulated,Sesn1,protein_coding,20,91185,3450,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
ENSRNOG00000000303,Upregulated,Cep57l1,protein_coding,20,56685,2330,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
ENSRNOG00000000304,Nondifferential,Cd164,protein_coding,20,11580,2822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000306,Downregulated,Smpd2,protein_coding,20,3229,1666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000307,Upregulated,Mical1,protein_coding,20,11950,3536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ENSRNOG00000000308,Downregulated,Zbtb24,protein_coding,20,21630,3769,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000312,Downregulated,Fig4,protein_coding,20,121933,3342,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
ENSRNOG00000000314,Nondifferential,Sec63,protein_coding,20,68953,5855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ENSRNOG00000000316,Upregulated,Sobp,protein_coding,20,159614,2595,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
ENSRNOG00000000321,Upregulated,Cd24,protein_coding,20,5307,1846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000322,Nondifferential,Atg5,protein_coding,20,73834,1914,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0
ENSRNOG00000000327,Nondifferential,Hace1,protein_coding,20,131193,3441,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0
ENSRNOG00000000340,Upregulated,RGD1304704,protein_coding,15,10973,1019,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000341,Upregulated,Nid2,protein_coding,15,57705,4562,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
ENSRNOG00000000368,Nondifferential,Grik2,protein_coding,20,727756,4550,9.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
ENSRNOG00000000373,Nondifferential,Ctnna3,protein_coding,20,761957,1635,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
ENSRNOG00000000376,Nondifferential,Tmem167b,protein_coding,20,225,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000378,Upregulated,Ctnna3,protein_coding,20,72374,1577,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ENSRNOG00000000386,Upregulated,Pbld1,protein_coding,20,14347,2027,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000387,Downregulated,Slc25a16,protein_coding,20,46969,3964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000392,Upregulated,Supv3l1,protein_coding,20,19050,2399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ENSRNOG00000000395,Upregulated,Kif1bp,protein_coding,20,19720,2577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000396,Nondifferential,Ddx50,protein_coding,20,29398,2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000397,Nondifferential,Ccar1,protein_coding,20,42602,4438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000398,Nondifferential,Zufsp,protein_coding,20,30051,2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000407,Upregulated,Dcbld1,protein_coding,20,94571,1515,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0
ENSRNOG00000000408,Upregulated,Gopc,protein_coding,20,49961,4243,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSRNOG00000000411,Upregulated,Nus1,protein_coding,20,26959,3644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ENSRNOG00000000412,Downregulated,Slc35f1,protein_coding,20,162034,4084,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
ENSRNOG00000000414,Downregulated,Cep85l,protein_coding,20,107557,2893,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
ENSRNOG00000000415,Nondifferential,Asf1a,protein_coding,20,14847,2693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000417,Downregulated,Numa1,protein_coding,1,40245,7633,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000418,Nondifferential,Zbtb12,protein_coding,20,2857,2408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000420,Upregulated,Nelfe,protein_coding,20,5866,1520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000421,Upregulated,Skiv2l,protein_coding,20,10653,3912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000422,Nondifferential,Dxo,protein_coding,20,2083,1363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000431,Upregulated,Atf6b,protein_coding,20,8008,2663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
ENSRNOG00000000432,Upregulated,Fkbpl,protein_coding,20,1491,1292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000433,Upregulated,Prrt1,protein_coding,20,3618,1921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSRNOG00000000437,Nondifferential,Agpat1,protein_coding,20,7247,2034,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000439,Nondifferential,Ager,protein_coding,20,2928,1420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ENSRNOG00000000440,Nondifferential,Pbx2,protein_coding,20,4950,2882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000443,Upregulated,C4a,protein_coding,20,205851,5356,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
ENSRNOG00000000457,Downregulated,Tap1,protein_coding,20,10635,2944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000463,Upregulated,Col11a2,protein_coding,20,28855,6046,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
ENSRNOG00000000464,Upregulated,Rxrb,protein_coding,20,6099,2629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000465,Upregulated,Slc39a7,protein_coding,20,3365,2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000466,Upregulated,Hsd17b8,protein_coding,20,2057,1189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000467,Upregulated,Ring1,protein_coding,20,3548,1713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000470,Nondifferential,Vps52,protein_coding,20,9703,3287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000471,Upregulated,B3galt4,protein_coding,20,1570,1570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSRNOG00000000473,Upregulated,Pfdn6,protein_coding,20,1471,693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000474,Downregulated,Rgl2,protein_coding,20,7757,2869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000476,Nondifferential,Zbtb22,protein_coding,20,3167,2571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000477,Nondifferential,Daxx,protein_coding,20,5748,2453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000480,Downregulated,Phf1,protein_coding,20,4965,2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000481,Upregulated,Cuta,protein_coding,20,1577,665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000483,Nondifferential,Syngap1,protein_coding,20,28489,4057,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0
ENSRNOG00000000485,Nondifferential,Bak1,protein_coding,20,8636,1931,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ENSRNOG00000000488,Downregulated,Hmga1,protein_coding,20,2974,324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ENSRNOG00000000490,Upregulated,Rps10,protein_coding,20,3775,465,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000493,Upregulated,Snrpc,protein_coding,20,18181,1072,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000495,Nondifferential,Uhrf1bp1,protein_coding,20,40546,4711,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
ENSRNOG00000000498,Upregulated,Anks1a,protein_coding,20,151948,5616,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0
ENSRNOG00000000500,Downregulated,Scube3,protein_coding,20,28050,2985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ENSRNOG00000000501,Upregulated,Zfp523,protein_coding,20,18655,2494,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSRNOG00000000503,Upregulated,Ppard,protein_coding,20,63579,5550,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0
ENSRNOG00000000504,Nondifferential,Fance,protein_coding,20,11060,1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSRNOG00000000505,Upregulated,Rpl10a,protein_coding,20,2564,715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ENSRNOG00000000506,Downregulated,Tead3,protein_coding,20,22704,5874,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
ENSRNOG00000000511,Nondifferential,Srpk1,protein_coding,20,34736,2501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
ENSRNOG00000000512,Nondifferential,Slc26a8,protein_coding,20,49956,3404,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
ENSRNOG00000000513,Downregulated,Mapk14,protein_coding,20,61835,3426,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
ENSRNOG00000000517,Nondifferential,Kctd20,protein_coding,20,14034,1447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
ENSRNOG00000000519,Nondifferential,Stk38,protein_coding,20,33309,3355,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
ENSRNOG00000000520,Nondifferential,Srsf3,protein_coding,20,9947,2884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
